Category: All categories

City,Chatime: (12/31/22 - 9/4/26),Gong Cha: (12/31/22 - 9/4/26),CoCo Fresh Tea & Juice: (12/31/22 - 9/4/26),Molly Tea: (12/31/22 - 9/4/26),HEYTEA: (12/31/22 - 9/4/26)
Candle Lake,,,,,
Fletchers Lake,,,,,
Lawrencetown,,,,,
Dublin,,,,,
Shearwater,,,,,
Coxheath,,,,,
Markham,55%,7%,16%,8%,14%
York,,,,,
Ajax,74%,,26%,,
McKellar,,,,,
Richmond Hill,55%,10%,18%,10%,7%
East Preston,,,,,
Rogersville,,,,,
Whitchurch-Stouffville,63%,37%,,,
Pickering,70%,,30%,,
Elmvale,,,,,
Aurora,100%,,,,
Courtice,,,,,
Vaughan,58%,15%,18%,5%,4%
O'Leary,,,,,
Newmarket,72%,,28%,,
Waterloo,53%,29%,12%,,6%
Saint-Sylvère,,,,,
Mount Currie,,,,,
Richmond,33%,9%,20%,17%,21%
Caledon,100%,,,,
Bedford,100%,,,,
Roberts Creek,,,,,
Cow Bay,,,,,
Conestogo,,,,,
Oshawa,58%,12%,30%,,
Eskasoni,,,,,
Delaware,,,,,
Toronto,48%,20%,16%,5%,11%
Falmouth,,,,,
Whitby,64%,36%,,,
Parrsboro,,,,,
Stillwater Lake,,,,,
Saint-Antoine,,,,,
Oakville,54%,18%,24%,1%,3%
Burnaby,37%,17%,21%,5%,20%
East Gwillimbury,100%,,,,
Springhill,,,,,
Moncton,100%,,,,
Wolfville,,,,,
Upper Hammonds Plains,,,,,
Nobleton,,,,,
Memramcook,,,,,
Milton,43%,29%,28%,,
Prince Albert,,,,,
Breslau,,,,,
Lucasville,,,,,
Goffs,,,,,
Dieppe,,,,,
Stellarton,,,,,
Mississauga,38%,32%,25%,2%,3%
Halifax,100%,,,,
London,57%,15%,25%,,3%
New Westminster,37%,63%,,,
Windsor,62%,36%,2%,,
King City,,,,,
Charlottetown,100%,,,,
Barrière,,,,,
Utica,,,,,
Hamilton,48%,33%,18%,<1%,1%
Langley,,,,,
Wynyard,,,,,
Guelph,54%,46%,,,
Tisdale,,,,,
New Hamburg,,,,,
Union Road,,,,,
Moosonee,,,,,
Surrey,47%,29%,15%,4%,5%
Pohenegamook,,,,,
Barrie,70%,,30%,,
Vancouver,38%,23%,17%,8%,14%
La Ronge,,,,,
LaSalle,,,,,
Bradford West Gwillimbury,36%,64%,,,
Berwick,,,,,
Komoka,,,,,
Dartmouth,100%,,,,
Peterborough,100%,,,,
Brampton,48%,21%,28%,,3%
Westville,,,,,
Beaver Bank,,,,,
West Vancouver,,,,,
Beaubassin East,,,,,
New Glasgow,,,,,
Lake Echo,,,,,
Hantsport,,,,,
Riverview,,,,,
East Lawrencetown,,,,,
Burlington,40%,35%,25%,,
North Sydney,,,,,
Hampton,,,,,
Ottawa,47%,26%,24%,1%,2%
Borden,,,,,
Bowmanville,,,,,
Nanoose Bay,,,,,
Cherry Brook,,,,,
Cole Harbour,,,,,
Coldbrook,,,,,
Innisfail,,,,,
Salisbury,,,,,
Warman,,,,,
Kingston,62%,38%,,,
Wingham,,,,,
Innisfil,,,,,
Eastern Passage,,,,,
La Salle,,,,,
Chelsea,,,,,
Sackville,,,,,
Langdon,,,,,
L'Ange-Gardien,,,,,
Sainte-Marthe-sur-le-Lac,,,,,
Cobden,,,,,
Timberlea,,,,,
Sydney River,,,,,
Georgina,,,,,
Shippagan,,,,,
Minesing,,,,,
Hubley,,,,,
Belcarra,,,,,
New Minas,,,,,
Bancroft,,,,,
La Malbaie,,,,,
Kitchener,33%,43%,21%,,3%
Lower Sackville,,,,,
Humboldt,,,,,
Curve Lake,,,,,
New Tecumseth,,,,,
Tecumseh,,,,,
Rothesay,,,,,
Blind River,,,,,
Nipawin,,,,,
Cardigan,,,,,
Sydney Mines,,,,,
Gatineau,100%,,,,
Halton Hills,,,,,
Langley,,,,,
Windsor,,,,,
Shediac,,,,,
Exeter,,,,,
Saskatoon,,,,,
Lisle,,,,,
Saint-Thomas,,,,,
Norwich,,,,,
Russell,,,,,
Greenwood,,,,,
Niagara Falls,,,,,
Elmira,,,,,
Niagara-on-the-Lake,,,,,
Gananoque,,,,,
Embrun,,,,,
Saint Catharines,,,,,
Delta,,,,,
Fredericton,,,,,
Pictou,,,,,
Nanaimo,,,,,
Uxbridge,,,,,
Petawawa,,,,,
Bible Hill,,,,,
Angus,,,,,
Coquitlam,,,,,
Melfort,,,,,
Sainte-Catherine,,,,,
Newcastle,,,,,
Narol,,,,,
Cambridge,,,,,
Calgary,,,,,
Baden,,,,,
Caledonia,,,,,
St-Tite,,,,,
Winnipeg,,,,,
Cayuga,,,,,
Lakeshore,,,,,
Port Perry,,,,,
Duncan,,,,,
Swan River,,,,,
Lombardy,,,,,
Blackfalds,,,,,
Bowen Island,,,,,
Midland,,,,,
North Vancouver,,,,,
Sylvan Lake,,,,,
Brossard,,,,,
Port Hawkesbury,,,,,
Wasaga Beach,,,,,
Pitt Meadows,,,,,
Port Coquitlam,,,,,
Orillia,,,,,
Hatchet Lake,,,,,
Mono,,,,,
Apsley,,,,,
White Rock,,,,,
Lakefield,,,,,
Nisku,,,,,
Kentville,,,,,
Minto,,,,,
