Category: All categories

Region,Chatime: (12/31/22 - 9/4/26),Gong Cha: (12/31/22 - 9/4/26),CoCo Fresh Tea & Juice: (12/31/22 - 9/4/26),Molly Tea: (12/31/22 - 9/4/26),HEYTEA: (12/31/22 - 9/4/26)
Ontario,49%,22%,19%,4%,6%
Nova Scotia,87%,11%,1%,1%,
British Columbia,38%,26%,17%,7%,12%
Prince Edward Island,100%,,,,
New Brunswick,94%,4%,,,2%
Manitoba,37%,43%,19%,1%,
Saskatchewan,23%,67%,10%,<1%,
Alberta,13%,45%,34%,7%,1%
Québec,35%,46%,11%,3%,5%
Newfoundland and Labrador,,,,,
Northwest Territories,,,,,
Nunavut,,,,,
Yukon Territory,,,,,
