Category: All categories

Week,Chatime: (Canada),Gong Cha: (Canada),CoCo Fresh Tea & Juice: (Canada),Molly Tea: (Canada),HEYTEA: (Canada)
2022-12-25,33,11,51,0,0
2023-01-01,16,7,41,0,0
2023-01-08,18,8,31,0,0
2023-01-15,22,11,34,0,0
2023-01-22,18,8,30,0,0
2023-01-29,26,9,37,0,0
2023-02-05,20,7,36,0,0
2023-02-12,16,22,32,0,0
2023-02-19,14,27,26,0,0
2023-02-26,24,21,33,0,0
2023-03-05,41,25,10,0,0
2023-03-12,49,27,30,0,0
2023-03-19,49,26,4,0,0
2023-03-26,51,32,7,0,0
2023-04-02,56,43,6,0,0
2023-04-09,66,40,7,0,0
2023-04-16,48,31,5,0,0
2023-04-23,61,33,4,0,0
2023-04-30,52,33,7,0,0
2023-05-07,57,34,6,0,0
2023-05-14,54,32,7,0,0
2023-05-21,56,32,5,0,0
2023-05-28,52,31,4,0,0
2023-06-04,47,30,8,0,0
2023-06-11,47,30,5,0,0
2023-06-18,51,29,5,0,0
2023-06-25,58,32,5,0,0
2023-07-02,54,31,6,0,0
2023-07-09,47,31,18,0,0
2023-07-16,53,35,35,0,0
2023-07-23,51,38,19,0,0
2023-07-30,48,33,9,0,0
2023-08-06,55,30,14,0,0
2023-08-13,50,29,29,0,0
2023-08-20,46,24,24,0,0
2023-08-27,49,28,29,0,0
2023-09-03,49,26,30,0,0
2023-09-10,42,23,25,0,0
2023-09-17,45,24,27,0,0
2023-09-24,45,24,18,0,0
2023-10-01,42,24,6,0,0
2023-10-08,43,29,5,0,0
2023-10-15,37,25,17,0,0
2023-10-22,38,21,5,0,7
2023-10-29,42,23,3,0,10
2023-11-05,42,27,4,0,5
2023-11-12,44,46,3,0,5
2023-11-19,38,55,3,0,2
2023-11-26,42,50,13,0,2
2023-12-03,43,36,20,0,2
2023-12-10,36,26,12,0,2
2023-12-17,40,27,8,0,3
2023-12-24,54,39,10,0,3
2023-12-31,53,32,11,0,4
2024-01-07,35,22,7,0,0
2024-01-14,26,22,9,0,0
2024-01-21,42,23,8,2,0
2024-01-28,51,28,6,0,2
2024-02-04,48,27,6,0,0
2024-02-11,46,25,12,0,4
2024-02-18,49,26,18,0,0
2024-02-25,43,22,11,0,2
2024-03-03,47,23,8,0,3
2024-03-10,38,25,10,0,0
2024-03-17,25,22,7,0,0
2024-03-24,53,26,20,0,2
2024-03-31,49,27,28,0,2
2024-04-07,48,26,20,0,0
2024-04-14,45,25,20,0,0
2024-04-21,49,28,28,0,0
2024-04-28,62,55,37,0,0
2024-05-05,57,29,21,0,2
2024-05-12,45,27,19,0,2
2024-05-19,46,30,26,0,0
2024-05-26,35,26,18,0,2
